Filename,Drug,Results,MIC
01-DR0053-DR0053-1-14-UKMYC6-raw,BDQ,"growth, growth, growth, -none-, -none-, -none-, -none-, -none-",0.06
01-DR0053-DR0053-1-14-UKMYC6-raw,EMB,"growth, growth, growth, growth, growth, growth, -none-, -none-",16
01-DR0053-DR0053-1-14-UKMYC6-raw,INH,"growth, growth, growth, growth, growth, growth, growth, -none-, -none-, -none-",3.2
01-DR0053-DR0053-1-14-UKMYC6-raw,RIF,"growth, growth, growth, growth, growth, growth, growth, growth, growth",>= 8
01-DR0053-DR0053-1-14-UKMYC6-raw,AMI,"-none-, -none-, -none-, -none-, -none-, -none-, -none-",<= 0.25
01-DR0053-DR0053-1-14-UKMYC6-raw,LEV,"growth, growth, -none-, -none-, -none-, -none-, -none-",0.5
01-DR0053-DR0053-1-14-UKMYC6-raw,MXF,"growth, growth, growth, -none-, -none-, -none-, -none-",0.5
01-DR0053-DR0053-1-14-UKMYC6-raw,DLM,"growth, growth, -none-, -none-, -none-, -none-, -none-",0.03
01-DR0053-DR0053-1-14-UKMYC6-raw,LZD,"growth, growth, growth, -none-, -none-, -none-, -none-",0.5
01-DR0053-DR0053-1-14-UKMYC6-raw,CFZ,"growth, growth, -none-, -none-, -none-, -none-, -none-",0.12
01-DR0053-DR0053-1-14-UKMYC6-raw,ETH,"growth, growth, growth, -none-, -none-, -none-",2
01-DR0053-DR0053-1-14-UKMYC6-raw,RFB,"growth, growth, growth, growth, growth, growth",>= 2
01-DR0053-DR0053-1-14-UKMYC6-raw,KAN,"-none-, -none-, -none-, -none-, -none-",<= 1
