Filename,Drug,Results,MIC
10-YA00125818-LA00125818-1-14-UKMYC6,BDQ,"growth, growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,EMB,"growth, growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,INH,"-none-, -none-, -none-, -none-, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,RIF,"growth, growth, -none-, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,AMI,"growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,LEV,"growth, growth, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,MXF,"growth, growth, growth, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,DLM,"-none-, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,LZD,"growth, growth, growth, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,CFZ,"growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,ETH,"-none-, growth, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,RFB,"-none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6,KAN,"growth, -none-, -none-, -none-, -none-",N/A
