Filename,Drug,Results,MIC
10-YA00125818-LA00125818-1-14-UKMYC6-raw,BDQ,"growth, growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,EMB,"growth, growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,INH,"-none-, -none-, -none-, -none-, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,RIF,"growth, growth, -none-, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,AMI,"growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,LEV,"growth, growth, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,MXF,"growth, growth, growth, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,DLM,"-none-, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,LZD,"growth, growth, growth, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,CFZ,"growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,ETH,"-none-, growth, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,RFB,"-none-, -none-, -none-, -none-, -none-, -none-",N/A
10-YA00125818-LA00125818-1-14-UKMYC6-raw,KAN,"growth, -none-, -none-, -none-, -none-",N/A
