Filename,Drug,Results,MIC
04-00423-704067-1-14-UKMYC5-raw,BDQ,"growth, growth, growth, -none-, -none-, -none-, -none-, -none-",0.12
04-00423-704067-1-14-UKMYC5-raw,KAN,"-none-, -none-, -none-, -none-, -none-",<= 1
04-00423-704067-1-14-UKMYC5-raw,ETH,"growth, growth, growth, -none-, -none-, -none-",2
04-00423-704067-1-14-UKMYC5-raw,AMI,"growth, -none-, growth, growth, growth, -none-",0.5
04-00423-704067-1-14-UKMYC5-raw,EMB,"growth, growth, growth, growth, growth, growth, growth, growth",>= 8
04-00423-704067-1-14-UKMYC5-raw,INH,"growth, growth, -none-, -none-, -none-, -none-, -none-",0.1
04-00423-704067-1-14-UKMYC5-raw,LEV,"growth, growth, growth, growth, growth, -none-, -none-",4
04-00423-704067-1-14-UKMYC5-raw,MXF,"growth, growth, growth, growth, growth, -none-, -none-",2
04-00423-704067-1-14-UKMYC5-raw,DLM,"growth, -none-, -none-, growth, growth, growth, growth",0.03
04-00423-704067-1-14-UKMYC5-raw,LZD,"growth, growth, growth, growth, growth, growth, growth",>= 2
04-00423-704067-1-14-UKMYC5-raw,CFZ,"growth, -none-, -none-, -none-, -none-, -none-, -none-",0.12
04-00423-704067-1-14-UKMYC5-raw,RIF,"growth, growth, -none-, -none-, -none-, -none-, -none-",0.25
04-00423-704067-1-14-UKMYC5-raw,RFB,"-none-, -none-, -none-, -none-, -none-, -none-",<= 0.06
04-00423-704067-1-14-UKMYC5-raw,PAS,"growth, -none-, -none-, -none-, -none-, -none-",0.25
